Date,INVE-A.ST,INVE-B.ST
2021-01-19,140.8837890625,141.4735565185547
2021-01-20,142.1406707763672,142.38632202148438
2021-01-21,143.28326416015625,143.11648559570312
2021-01-22,142.94049072265625,142.61447143554688
2021-01-25,142.1406707763672,142.29501342773438
2021-01-26,144.88294982910156,145.3070068359375
2021-01-27,143.85455322265625,143.8922882080078
2021-01-28,142.4834442138672,141.97557067871094
2021-01-29,140.08395385742188,140.1957550048828
2021-02-01,144.08309936523438,144.7593994140625
2021-02-02,146.25404357910156,146.53921508789062
2021-02-03,145.68275451660156,145.8090362548828
2021-02-04,146.25404357910156,146.31101989746094
2021-02-05,145.33998107910156,145.1244659423828
2021-02-08,145.33998107910156,144.9419403076172
2021-02-09,145.33998107910156,145.44393920898438
2021-02-10,144.54014587402344,145.078857421875
2021-02-11,147.28244018554688,147.9083251953125
2021-02-12,148.42501831054688,148.50160217285156
2021-02-15,148.1964874267578,148.50160217285156
2021-02-16,147.16815185546875,147.31504821777344
2021-02-17,144.88294982910156,144.71376037597656
2021-02-18,143.62603759765625,143.98358154296875
2021-02-19,144.65440368652344,144.66815185546875
2021-02-22,143.0547637939453,143.43592834472656
2021-02-23,142.94049072265625,143.25338745117188
2021-02-24,143.96885681152344,144.3030548095703
2021-02-25,144.08309936523438,144.53123474121094
2021-02-26,142.25491333007812,142.56884765625
2021-03-01,146.02552795410156,146.63047790527344
2021-03-02,147.28244018554688,147.68014526367188
2021-03-03,146.7111053466797,147.1781463623047
2021-03-04,147.7394561767578,148.22776794433594
2021-03-05,146.36830139160156,146.67613220214844
2021-03-08,150.36744689941406,151.10289001464844
2021-03-09,151.28155517578125,151.969970703125
2021-03-10,152.1956024169922,153.0652618408203
2021-03-11,155.39491271972656,155.9860076904297
2021-03-12,154.93788146972656,155.89476013183594
2021-03-15,153.90953063964844,154.57127380371094
2021-03-16,155.2806854248047,156.30548095703125
2021-03-17,155.05215454101562,155.9860076904297
2021-03-18,154.0238037109375,154.61691284179688
2021-03-19,153.56675720214844,153.6129150390625
2021-03-22,155.05215454101562,155.16456604003906
2021-03-23,155.2806854248047,155.48402404785156
2021-03-24,156.30899047851562,156.16856384277344
2021-03-25,156.6518096923828,156.57925415039062
2021-03-26,158.02294921875,158.35911560058594
2021-03-29,156.1947479248047,156.30548095703125
2021-03-30,158.47998046875,158.95240783691406
2021-03-31,158.25144958496094,158.90675354003906
2021-04-01,160.83377075195312,160.54965209960938
2021-04-02,160.83377075195312,160.54965209960938
2021-04-05,160.83377075195312,160.54965209960938
2021-04-06,161.74783325195312,161.80467224121094
2021-04-07,162.02206420898438,161.9187774658203
2021-04-08,161.70211791992188,161.43955993652344
2021-04-09,162.8904571533203,163.08248901367188
2021-04-12,162.34201049804688,162.6489715576172
2021-04-13,164.71864318847656,164.56570434570312
2021-04-14,163.57601928710938,163.35633850097656
2021-04-15,164.30726623535156,164.13214111328125
2021-04-16,166.40968322753906,166.82469177246094
2021-04-19,166.40968322753906,166.09454345703125
2021-04-20,161.88494873046875,161.89596557617188
2021-04-21,164.07875061035156,163.37913513183594
2021-04-22,163.2103729248047,162.46641540527344
2021-04-23,163.07325744628906,162.9456024169922
2021-04-26,163.66744995117188,163.37913513183594
2021-04-27,164.6729278564453,164.36033630371094
2021-04-28,164.6729278564453,164.29188537597656
2021-04-29,165.5413360595703,165.06768798828125
2021-04-30,164.53582763671875,164.0408935546875
2021-05-03,165.8612518310547,165.34152221679688
2021-05-04,162.66192626953125,161.9416046142578
2021-05-05,166.77532958984375,166.9616241455078
2021-05-06,167.79478454589844,167.8175811767578
2021-05-07,168.44357299804688,168.14146423339844
2021-05-10,169.2313232421875,168.8355255126953
2021-05-11,164.55104064941406,164.18548583984375
2021-05-12,164.69004821777344,164.5093536376953
2021-05-13,164.69004821777344,164.5093536376953
2021-05-14,169.04595947265625,168.8817901611328
2021-05-17,169.2313232421875,169.11314392089844
2021-05-18,173.07748413085938,172.3519744873047
2021-05-19,173.3091583251953,170.69552612304688
2021-05-20,175.4222412109375,175.1558380126953
2021-05-21,175.53346252441406,174.61912536621094
2021-05-24,174.93104553222656,174.66539001464844
2021-05-25,174.97740173339844,174.29527282714844
2021-05-26,174.56033325195312,173.9713897705078
2021-05-27,174.93104553222656,174.29527282714844
2021-05-28,177.20167541503906,176.70123291015625
2021-05-31,176.55291748046875,177.30274963378906
2021-06-01,178.26748657226562,178.08932495117188
2021-06-02,177.9894256591797,178.13558959960938
2021-06-03,179.47230529785156,179.708740234375
2021-06-04,180.16738891601562,180.2176971435547
2021-06-07,179.24061584472656,179.708740234375
2021-06-08,179.65765380859375,180.40277099609375
2021-06-09,180.21372985839844,180.40277099609375
2021-06-10,180.21372985839844,180.31021118164062
2021-06-11,181.0941925048828,181.2818603515625
2021-06-14,180.86248779296875,181.18934631347656
2021-06-15,180.30642700195312,181.05052185058594
2021-06-16,181.18687438964844,181.8370819091797
2021-06-17,179.56500244140625,180.77293395996094
2021-06-18,179.56500244140625,180.40277099609375
2021-06-21,180.72348022460938,181.8370819091797
2021-06-22,181.0015106201172,182.48486328125
2021-06-23,178.45285034179688,179.708740234375
2021-06-24,180.72348022460938,182.39234924316406
2021-06-25,180.72348022460938,182.39234924316406
2021-06-28,180.30642700195312,181.8370819091797
2021-06-29,182.2063446044922,183.96546936035156
2021-06-30,181.0478515625,182.5311279296875
2021-07-01,182.6697235107422,183.82666015625
2021-07-02,183.78187561035156,184.98338317871094
2021-07-05,184.70864868164062,186.2789306640625
2021-07-06,184.3379364013672,185.90875244140625
2021-07-07,188.6011505126953,190.53567504882812
2021-07-08,186.3768768310547,187.29684448242188
2021-07-09,189.1572265625,189.88787841796875
2021-07-12,191.5668487548828,192.84912109375
2021-07-13,192.58633422851562,193.68194580078125
2021-07-14,192.77169799804688,193.5894317626953
2021-07-15,192.49366760253906,193.49688720703125
2021-07-16,194.8106231689453,195.53271484375
2021-07-19,188.32310485839844,188.12969970703125
2021-07-20,190.08401489257812,190.258056640625
2021-07-21,194.62527465820312,194.7924041748047
2021-07-22,198.14706420898438,197.75360107421875
2021-07-23,200.64939880371094,200.06707763671875
2021-07-26,199.90797424316406,199.0491485595703
2021-07-27,198.23974609375,197.66111755371094
2021-07-28,197.86904907226562,197.5685577392578
2021-07-29,199.53726196289062,198.86407470703125
2021-07-30,198.33242797851562,197.38348388671875
2021-08-02,198.98118591308594,198.5864715576172
2021-08-03,198.703125,198.30885314941406
2021-08-04,201.11279296875,201.73275756835938
2021-08-05,202.31761169433594,202.19546508789062
2021-08-06,199.444580078125,199.4193115234375
2021-08-09,199.7226104736328,200.06707763671875
2021-08-10,201.11279296875,201.27008056640625
2021-08-11,202.50296020507812,202.10289001464844
2021-08-12,202.1322479248047,201.73275756835938
2021-08-13,202.03956604003906,201.73275756835938
2021-08-16,193.60580444335938,193.5894317626953
2021-08-17,196.571533203125,197.4759979248047
2021-08-18,193.60580444335938,194.23716735839844
2021-08-19,190.82542419433594,191.46104431152344
2021-08-20,192.1229248046875,192.75657653808594
2021-08-23,192.49366760253906,193.2192840576172
2021-08-24,191.19615173339844,191.46104431152344
2021-08-25,190.08401489257812,189.5177764892578
2021-08-26,189.99134826660156,189.88787841796875
2021-08-27,189.89862060546875,189.4252166748047
2021-08-30,191.19615173339844,191.27597045898438
2021-08-31,191.8448944091797,190.99835205078125
2021-09-01,192.6790008544922,192.66404724121094
2021-09-02,193.42044067382812,193.49688720703125
2021-09-03,190.91812133789062,190.53567504882812
2021-09-06,192.49366760253906,192.75657653808594
