Date,^FCHI,^GDAXI
2021-05-20,6343.580078125,15370.259765625
2021-05-21,6386.41015625,15437.509765625
2021-05-24,6408.490234375,15437.509765625
2021-05-25,6390.27001953125,15465.08984375
2021-05-26,6391.60009765625,15450.7197265625
2021-05-27,6435.7099609375,15406.73046875
2021-05-28,6484.10986328125,15519.98046875
2021-05-31,6447.169921875,15421.1298828125
2021-06-01,6489.39990234375,15567.3603515625
2021-06-02,6521.52001953125,15602.7099609375
2021-06-03,6507.919921875,15632.669921875
2021-06-04,6515.66015625,15692.900390625
2021-06-07,6543.56005859375,15677.150390625
2021-06-08,6551.009765625,15640.599609375
2021-06-09,6563.4501953125,15581.1396484375
2021-06-10,6546.490234375,15571.2197265625
2021-06-11,6600.66015625,15693.26953125
2021-06-14,6616.35009765625,15673.6396484375
2021-06-15,6639.52001953125,15729.51953125
2021-06-16,6652.64990234375,15710.5703125
2021-06-17,6666.259765625,15727.669921875
2021-06-18,6569.16015625,15448.0400390625
2021-06-21,6602.5400390625,15603.240234375
2021-06-22,6611.5,15636.330078125
2021-06-23,6551.06982421875,15456.3896484375
2021-06-24,6631.14990234375,15589.23046875
2021-06-25,6622.8701171875,15607.9697265625
2021-06-28,6558.02001953125,15554.1796875
2021-06-29,6567.43017578125,15690.58984375
2021-06-30,6507.830078125,15531.0400390625
2021-07-01,6553.81982421875,15603.8095703125
2021-07-02,6552.85986328125,15650.08984375
2021-07-05,6567.5400390625,15661.9697265625
2021-07-06,6507.47998046875,15511.3798828125
2021-07-07,6527.72021484375,15692.7099609375
2021-07-08,6396.72998046875,15420.6396484375
2021-07-09,6529.419921875,15687.9296875
2021-07-12,6559.25,15790.509765625
2021-07-13,6558.47021484375,15789.6396484375
2021-07-14,6558.3798828125,15788.98046875
2021-07-15,6493.35986328125,15629.66015625
2021-07-16,6460.080078125,15540.3095703125
2021-07-19,6295.97021484375,15133.2001953125
2021-07-20,6346.85009765625,15216.26953125
2021-07-21,6464.47998046875,15422.5
2021-07-22,6481.58984375,15514.5400390625
2021-07-23,6568.81982421875,15669.2900390625
2021-07-26,6578.60009765625,15618.98046875
2021-07-27,6531.919921875,15519.1298828125
2021-07-28,6609.31005859375,15570.3603515625
2021-07-29,6633.77001953125,15640.4697265625
2021-07-30,6612.759765625,15544.3896484375
2021-08-02,6675.89990234375,15568.73046875
2021-08-03,6723.81005859375,15555.080078125
2021-08-04,6746.22998046875,15692.1298828125
2021-08-05,6781.18994140625,15744.669921875
2021-08-06,6816.9599609375,15761.4501953125
2021-08-09,6813.18017578125,15745.41015625
2021-08-10,6820.2099609375,15770.7099609375
2021-08-11,6857.990234375,15826.08984375
2021-08-12,6882.47021484375,15937.509765625
2021-08-13,6896.0400390625,15977.4404296875
2021-08-16,6838.77001953125,15925.73046875
2021-08-17,6819.83984375,15921.9501953125
2021-08-18,6770.10986328125,15965.9697265625
2021-08-19,6605.89013671875,15765.8095703125
2021-08-20,6626.10986328125,15808.0400390625
2021-08-23,6683.10009765625,15852.7900390625
2021-08-24,6664.31005859375,15905.849609375
2021-08-25,6676.47998046875,15860.66015625
2021-08-26,6666.02978515625,15793.6201171875
2021-08-27,6681.919921875,15851.75
2021-08-30,6687.2998046875,15887.3095703125
2021-08-31,6680.18017578125,15835.08984375
2021-09-01,6758.68994140625,15824.2900390625
2021-09-02,6763.080078125,15840.58984375
2021-09-03,6689.990234375,15781.2001953125
2021-09-06,6743.5,15932.1201171875
2021-09-07,6726.06982421875,15843.08984375
2021-09-08,6668.89013671875,15610.2802734375
2021-09-09,6684.72021484375,15623.150390625
2021-09-10,6663.77001953125,15609.8095703125
2021-09-13,6676.93017578125,15701.419921875
2021-09-14,6652.97021484375,15722.990234375
2021-09-15,6583.6201171875,15616.0
2021-09-16,6622.58984375,15651.75
2021-09-17,6570.18994140625,15490.169921875
2021-09-20,6455.81005859375,15132.0595703125
2021-09-21,6552.72998046875,15348.5302734375
2021-09-22,6637.0,15506.740234375
2021-09-23,6701.97998046875,15643.9697265625
2021-09-24,6638.4599609375,15531.75
2021-09-27,6650.91015625,15573.8798828125
2021-09-28,6506.5,15248.5595703125
2021-09-29,6560.7998046875,15365.26953125
2021-09-30,6520.009765625,15260.6904296875
2021-10-01,6517.68994140625,15156.4404296875
2021-10-04,6477.66015625,15036.5498046875
2021-10-05,6576.27978515625,15194.490234375
2021-10-06,6493.1201171875,14973.330078125
2021-10-07,6600.18994140625,15250.8603515625
2021-10-08,6559.990234375,15206.1298828125
2021-10-11,6570.5400390625,15199.1396484375
2021-10-12,6548.10986328125,15146.8701171875
2021-10-13,6597.3798828125,15249.3798828125
2021-10-14,6685.2099609375,15462.7197265625
2021-10-15,6727.52001953125,15587.3603515625
2021-10-18,6673.10009765625,15474.4697265625
2021-10-19,6669.85009765625,15515.830078125
2021-10-20,6705.60986328125,15522.919921875
2021-10-21,6686.169921875,15472.5595703125
2021-10-22,6733.68994140625,15542.98046875
2021-10-25,6712.8701171875,15599.23046875
2021-10-26,6766.509765625,15757.0595703125
2021-10-27,6753.52001953125,15705.8095703125
2021-10-28,6804.22021484375,15696.330078125
2021-10-29,6830.33984375,15688.76953125
2021-11-01,6893.2900390625,15806.2900390625
2021-11-02,6927.02978515625,15954.4501953125
2021-11-03,6950.64990234375,15959.98046875
2021-11-04,6987.7900390625,16029.650390625
2021-11-05,7040.7900390625,16054.3603515625
2021-11-08,7047.47998046875,16046.51953125
2021-11-09,7043.27001953125,16040.4697265625
2021-11-10,7045.16015625,16067.830078125
2021-11-11,7059.5498046875,16083.1103515625
2021-11-12,7091.39990234375,16094.0703125
2021-11-15,7128.6298828125,16148.6396484375
2021-11-16,7152.60009765625,16247.8603515625
2021-11-17,7156.85009765625,16251.1298828125
2021-11-18,7141.97998046875,16221.73046875
2021-11-19,7112.2900390625,16159.9697265625
2021-11-22,7105.0,16115.6904296875
2021-11-23,7044.6201171875,15937.0
2021-11-24,7042.22998046875,15878.3896484375
2021-11-25,7075.8701171875,15917.98046875
2021-11-26,6739.72998046875,15257.0400390625
2021-11-29,6776.25,15280.8603515625
2021-11-30,6721.16015625,15100.1298828125
2021-12-01,6881.8701171875,15472.669921875
2021-12-02,6795.75,15263.1103515625
2021-12-03,6765.52001953125,15169.98046875
2021-12-06,6865.77978515625,15380.7900390625
2021-12-07,7065.39013671875,15813.9404296875
2021-12-08,7014.56982421875,15687.08984375
2021-12-09,7008.22998046875,15639.259765625
2021-12-10,6991.68017578125,15623.3095703125
2021-12-13,6942.91015625,15621.7197265625
2021-12-14,6895.31005859375,15453.5595703125
2021-12-15,6927.6298828125,15476.349609375
2021-12-16,7005.06982421875,15636.400390625
2021-12-17,6926.6298828125,15531.6904296875
2021-12-20,6870.10009765625,15239.669921875
2021-12-21,6964.990234375,15447.4404296875
2021-12-22,7051.669921875,15593.4697265625
2021-12-23,7106.14990234375,15756.3095703125
2021-12-24,7086.580078125,15756.3095703125
2021-12-27,7140.39013671875,15835.25
2021-12-28,7181.10986328125,15963.7001953125
2021-12-29,7161.52001953125,15852.25
2021-12-30,7173.22998046875,15884.8603515625
2021-12-31,7153.02978515625,15884.8603515625
2022-01-03,7217.22021484375,16020.73046875
2022-01-04,7317.41015625,16152.6103515625
2022-01-05,7376.3701171875,16271.75
2022-01-06,7249.66015625,16052.0302734375
2022-01-07,7219.47998046875,15947.740234375
2022-01-10,7115.77001953125,15768.26953125
2022-01-11,7183.3798828125,15941.8095703125
2022-01-12,7237.18994140625,16010.3203125
2022-01-13,7201.14013671875,16031.58984375
2022-01-14,7143.0,15883.240234375
2022-01-17,7201.64013671875,15933.7197265625
2022-01-18,7133.830078125,15772.5595703125
2022-01-19,7172.97998046875,15809.7197265625
2022-01-20,7194.16015625,15912.330078125
2022-01-21,7068.58984375,15603.8798828125
2022-01-24,6787.7900390625,15011.1298828125
2022-01-25,6837.9599609375,15123.8701171875
2022-01-26,6981.9599609375,15459.3896484375
2022-01-27,7023.7998046875,15524.26953125
2022-01-28,6965.8798828125,15318.9501953125
2022-01-31,6999.2001953125,15471.2001953125
2022-02-01,7099.490234375,15619.3896484375
2022-02-02,7115.27001953125,15613.76953125
2022-02-03,7005.6298828125,15368.4697265625
2022-02-04,6951.3798828125,15099.5595703125
2022-02-07,7009.25,15206.6396484375
2022-02-08,7028.41015625,15242.3798828125
2022-02-09,7130.8798828125,15482.009765625
2022-02-10,7101.5498046875,15490.4404296875
2022-02-11,7011.60009765625,15425.1201171875
2022-02-14,6852.2001953125,15113.9697265625
2022-02-15,6979.97021484375,15412.7099609375
2022-02-16,6964.97998046875,15396.0703125
2022-02-17,6946.81982421875,15267.6298828125
2022-02-18,6929.6298828125,15042.509765625
2022-02-21,6788.33984375,14731.1201171875
2022-02-22,6787.60009765625,14693.0
2022-02-23,6780.669921875,14631.3603515625
2022-02-24,6521.0498046875,14052.099609375
2022-02-25,6752.43017578125,14567.23046875
2022-02-28,6658.830078125,14461.01953125
2022-03-01,6396.490234375,13904.849609375
2022-03-02,6498.02001953125,14000.1103515625
2022-03-03,6378.3701171875,13698.400390625
2022-03-04,6061.66015625,13094.5400390625
2022-03-07,5982.27001953125,12834.650390625
2022-03-08,5962.9599609375,12831.509765625
2022-03-09,6387.830078125,13847.9296875
2022-03-10,6207.2001953125,13442.099609375
2022-03-11,6260.25,13628.1103515625
2022-03-14,6369.93994140625,13929.1103515625
2022-03-15,6355.0,13917.26953125
2022-03-16,6588.64013671875,14440.740234375
2022-03-17,6612.52001953125,14388.0595703125
2022-03-18,6620.240234375,14413.08984375
2022-03-21,6582.330078125,14326.9697265625
2022-03-22,6659.41015625,14473.2001953125
2022-03-23,6581.43017578125,14283.650390625
2022-03-24,6555.77001953125,14273.7900390625
2022-03-25,6553.68017578125,14305.759765625
2022-03-28,6589.10986328125,14417.3701171875
2022-03-29,6792.16015625,14820.330078125
2022-03-30,6741.58984375,14606.0498046875
2022-03-31,6659.8701171875,14414.75
2022-04-01,6684.31005859375,14446.48046875
2022-04-04,6731.3701171875,14518.16015625
2022-04-05,6645.509765625,14424.3603515625
2022-04-06,6498.830078125,14151.6904296875
2022-04-07,6461.68017578125,14078.150390625
2022-04-08,6548.22021484375,14283.669921875
2022-04-11,6555.81005859375,14192.7802734375
2022-04-12,6537.41015625,14124.9501953125
2022-04-13,6542.14013671875,14076.4404296875
2022-04-14,6589.35009765625,14163.849609375
2022-04-15,6589.35009765625,14163.849609375
2022-04-18,6589.35009765625,14163.849609375
2022-04-19,6534.7900390625,14153.4599609375
2022-04-20,6624.91015625,14362.0302734375
2022-04-21,6715.10009765625,14502.41015625
2022-04-22,6581.419921875,14142.08984375
2022-04-25,6449.3798828125,13924.169921875
2022-04-26,6414.56982421875,13756.400390625
2022-04-27,6445.259765625,13793.9404296875
2022-04-28,6508.14013671875,13979.83984375
2022-04-29,6533.77001953125,14097.8798828125
2022-05-02,6425.60986328125,13939.0703125
2022-05-03,6476.18017578125,14039.4697265625
2022-05-04,6395.68017578125,13970.8203125
2022-05-05,6368.39990234375,13902.51953125
2022-05-06,6258.35986328125,13674.2900390625
2022-05-09,6086.02001953125,13380.669921875
2022-05-10,6116.91015625,13534.740234375
2022-05-11,6269.72998046875,13828.6396484375
2022-05-12,6206.259765625,13739.6396484375
2022-05-13,6362.68017578125,14027.9296875
2022-05-16,6347.77001953125,13964.3798828125
2022-05-17,6430.18994140625,14185.9404296875
2022-05-18,6352.93994140625,14007.759765625
2022-05-19,6272.7099609375,13882.2998046875
2022-05-20,6285.240234375,13981.91015625
2022-05-23,6358.740234375,14175.400390625
2022-05-24,6253.14013671875,13919.75
2022-05-25,6298.64013671875,14007.9296875
2022-05-26,6410.580078125,14231.2900390625
2022-05-27,6515.75,14462.1904296875
2022-05-30,6562.39013671875,14575.98046875
2022-05-31,6468.7998046875,14388.349609375
2022-06-01,6418.89013671875,14340.4697265625
2022-06-02,6500.43994140625,14485.169921875
2022-06-03,6485.2998046875,14460.08984375
2022-06-06,6548.77978515625,14653.8095703125
2022-06-07,6500.35009765625,14556.6201171875
2022-06-08,6448.6298828125,14445.990234375
2022-06-09,6358.4599609375,14198.7998046875
2022-06-10,6187.22998046875,13761.830078125
2022-06-13,6022.31982421875,13427.0302734375
2022-06-14,5949.83984375,13304.3896484375
2022-06-15,6030.1298828125,13485.2900390625
2022-06-16,5886.240234375,13038.490234375
2022-06-17,5882.64990234375,13126.259765625
2022-06-20,5920.08984375,13265.599609375
2022-06-21,5964.66015625,13292.400390625
2022-06-22,5916.6298828125,13144.2802734375
2022-06-23,5883.330078125,12912.58984375
2022-06-24,6073.35009765625,13118.1298828125
2022-06-27,6047.31005859375,13186.0703125
2022-06-28,6086.02001953125,13231.8203125
