Date,FTSEMIB.MI,^IBEX
2022-06-08,24237.0,8842.7001953125
2022-06-09,23777.0,8711.2001953125
2022-06-10,22547.0,8390.599609375
2022-06-13,21918.0,8183.2998046875
2022-06-14,21847.0,8066.39990234375
2022-06-15,22474.0,8174.7001953125
2022-06-16,21727.0,8078.10009765625
2022-06-17,21789.0,8145.89990234375
2022-06-20,22004.0,8286.0
2022-06-21,22089.0,8235.599609375
2022-06-22,21789.0,8145.39990234375
2022-06-23,21615.0,8106.39990234375
2022-06-24,22119.0,8244.099609375
2022-06-27,21929.0,8242.599609375
2022-06-28,22101.0,8317.5
2022-06-29,21834.0,8188.0
2022-06-30,21294.0,8098.7001953125
2022-07-01,21355.0,8176.10009765625
2022-07-04,21344.0,8161.7998046875
2022-07-05,20705.0,7959.39990234375
2022-07-06,20921.0,7948.60009765625
2022-07-07,21558.0,8122.5
2022-07-08,21774.0,8100.2998046875
2022-07-11,21568.0,8065.2001953125
2022-07-12,21486.0,8014.7998046875
2022-07-13,21286.0,7944.89990234375
2022-07-14,20554.0,7804.2998046875
2022-07-15,20933.0,7945.89990234375
2022-07-18,21169.0,7963.10009765625
2022-07-19,21696.0,8125.10009765625
2022-07-20,21348.0,8028.89990234375
2022-07-21,21197.0,8012.7001953125
2022-07-22,21212.0,8051.60009765625
2022-07-25,21383.0,8085.60009765625
2022-07-26,21160.0,8069.60009765625
2022-07-27,21481.0,8124.39990234375
2022-07-28,21932.0,8084.89990234375
2022-07-29,22405.0,8156.2001953125
2022-08-01,22429.0,8085.10009765625
2022-08-02,22351.0,8096.89990234375
2022-08-03,22575.0,8142.10009765625
2022-08-04,22646.0,8161.10009765625
2022-08-05,22587.0,8168.0
2022-08-08,22728.0,8272.5
2022-08-09,22488.0,8311.900390625
2022-08-10,22702.0,8352.7998046875
2022-08-11,22858.0,8380.0
2022-08-12,22971.0,8400.400390625
2022-08-15,22971.0,8427.0
2022-08-16,22998.0,8511.900390625
2022-08-17,22758.0,8434.7998046875
2022-08-18,22986.0,8430.2998046875
2022-08-19,22535.0,8338.099609375
2022-08-22,22166.0,8284.7998046875
2022-08-23,22380.0,8226.2998046875
2022-08-24,22431.0,8199.400390625
2022-08-25,22454.0,8187.5
2022-08-26,21895.0,8063.89990234375
2022-08-29,21842.0,7989.60009765625
2022-08-30,21825.0,7979.7998046875
2022-08-31,21559.0,7886.10009765625
2022-09-01,21302.0,7806.0
2022-09-02,21921.0,7932.2001953125
2022-09-05,21480.0,7862.7001953125
2022-09-06,21481.0,7842.2001953125
2022-09-07,21489.0,7855.89990234375
2022-09-08,21678.0,7916.7998046875
2022-09-09,22095.0,8033.10009765625
2022-09-12,22610.0,8194.2998046875
2022-09-13,22304.0,8064.0
2022-09-14,22413.0,8055.60009765625
2022-09-15,22366.0,8085.5
2022-09-16,22111.0,7984.7001953125
2022-09-19,22141.0,7993.2001953125
2022-09-20,21774.0,7873.10009765625
2022-09-21,22036.0,7872.2001953125
2022-09-22,21799.0,7774.7001953125
2022-09-23,21067.0,7583.5
2022-09-26,21207.0,7508.5
2022-09-27,20961.0,7445.7001953125
2022-09-28,20853.0,7442.2001953125
2022-09-29,20353.0,7300.10009765625
2022-09-30,20649.0,7366.7998046875
2022-10-03,20973.0,7462.0
2022-10-04,21691.0,7696.60009765625
2022-10-05,21361.0,7579.89990234375
2022-10-06,21141.0,7511.10009765625
2022-10-07,20902.0,7436.89990234375
2022-10-10,20913.0,7413.5
2022-10-11,20731.0,7355.89990234375
2022-10-12,20467.0,7261.10009765625
2022-10-13,20786.0,7348.7998046875
2022-10-14,20931.0,7382.5
2022-10-17,21320.0,7557.10009765625
2022-10-18,21519.0,7611.2998046875
2022-10-19,21472.0,7583.60009765625
2022-10-20,21702.0,7644.39990234375
2022-10-21,21568.0,7545.60009765625
2022-10-24,21983.0,7680.5
2022-10-25,22290.0,7794.89990234375
2022-10-26,22390.0,7870.60009765625
