Date,P911.DE,VOW3.DE
2023-03-20,102.7995376586914,97.12882232666016
2023-03-21,104.44142150878906,99.50373077392578
2023-03-22,105.2623519897461,100.00456237792969
2023-03-23,104.98870086669922,98.85749053955078
2023-03-24,102.5259017944336,96.12716674804688
2023-03-27,105.53599548339844,97.62965393066406
2023-03-28,105.62721252441406,98.45359802246094
2023-03-29,107.4515151977539,99.03520965576172
2023-03-30,106.72179412841797,100.71541595458984
2023-03-31,107.63394165039062,101.49089813232422
2023-04-03,107.17787170410156,101.66860961914062
2023-04-04,107.54273223876953,101.29702758789062
2023-04-05,107.54273223876953,100.23074340820312
2023-04-06,107.54273223876953,99.72991943359375
2023-04-07,107.54273223876953,99.72991943359375
2023-04-10,107.54273223876953,99.72991943359375
2023-04-11,108.13563537597656,101.3778076171875
