Date,HM-B.ST,ITX.MC
2022-08-02,109.62828826904297,22.00124740600586
2022-08-03,112.45853424072266,22.299062728881836
2022-08-04,115.37612915039062,22.57826805114746
2022-08-05,112.8428726196289,22.420053482055664
2022-08-08,116.89608001708984,23.406570434570312
2022-08-09,113.48928833007812,22.931926727294922
2022-08-10,116.56412506103516,23.471717834472656
2022-08-11,116.17977142333984,23.61132049560547
2022-08-12,116.35447692871094,23.61132049560547
2022-08-15,115.69060516357422,23.77884292602539
2022-08-16,116.77377319335938,24.076662063598633
2022-08-17,114.81706237792969,23.583402633666992
2022-08-18,113.64653015136719,23.30419921875
2022-08-19,111.35786437988281,23.06222152709961
2022-08-22,107.63663482666016,22.475894927978516
2022-08-23,108.56256103515625,22.038475036621094
2022-08-24,107.09503936767578,21.964021682739258
2022-08-25,101.66166687011719,21.535907745361328
2022-08-26,97.11930084228516,20.72621726989746
2022-08-29,98.49948120117188,20.493547439575195
2022-08-30,97.32894134521484,20.605228424072266
2022-08-31,97.01448059082031,20.056129455566406
2022-09-01,96.21082305908203,19.77692413330078
2022-09-02,98.58684539794922,20.19573211669922
2022-09-05,97.8355941772461,19.77692413330078
2022-09-06,99.16336822509766,20.000286102294922
2022-09-07,96.85724639892578,19.95375633239746
2022-09-08,95.44213104248047,19.721084594726562
2022-09-09,97.94042205810547,19.981672286987305
2022-09-12,102.48279571533203,20.82859230041504
2022-09-13,98.48200225830078,20.428401947021484
2022-09-14,98.97119140625,21.200862884521484
2022-09-15,94.28905487060547,20.865819931030273
2022-09-16,94.88306427001953,20.893741607666016
2022-09-19,96.01866149902344,20.930967330932617
2022-09-20,93.2757568359375,20.344640731811523
2022-09-21,94.21916961669922,20.53077507019043
2022-09-22,93.50288391113281,20.363250732421875
2022-09-23,90.95216369628906,19.581483840942383
2022-09-26,91.14434051513672,19.54425811767578
2022-09-27,92.89139556884766,19.711776733398438
2022-09-28,92.47211456298828,19.90721893310547
2022-09-29,87.06494140625,19.54425811767578
2022-09-30,90.3756332397461,19.804845809936523
2022-10-03,93.852294921875,19.823457717895508
2022-10-04,99.18084716796875,20.549386978149414
2022-10-05,93.46794891357422,20.35394859313965
2022-10-06,92.12269592285156,20.23295783996582
2022-10-07,91.14434051513672,20.046823501586914
2022-10-10,93.66011810302734,20.25157356262207
2022-10-11,94.20170593261719,20.549386978149414
2022-10-12,96.03612518310547,20.51215934753418
2022-10-13,98.3946533203125,20.493547439575195
2022-10-14,98.1325912475586,20.35394859313965
2022-10-17,100.45618438720703,20.82859230041504
2022-10-18,102.57015228271484,21.172943115234375
2022-10-19,99.407958984375,21.15433120727539
2022-10-20,99.79229736328125,21.396305084228516
2022-10-21,96.87471771240234,20.74483299255371
2022-10-24,99.00613403320312,21.312543869018555
2022-10-25,101.92372131347656,21.97332763671875
2022-10-26,101.64420318603516,22.122236251831055
2022-10-27,100.4212417602539,22.094314575195312
2022-10-28,96.71748352050781,21.843032836914062
2022-10-31,97.13677978515625,21.50092887878418
2022-11-01,99.51277160644531,21.96956443786621
2022-11-02,99.60012817382812,21.800853729248047
2022-11-03,96.78736877441406,21.35096549987793
2022-11-04,101.34719848632812,22.072662353515625
2022-11-07,101.57431030273438,22.11952781677246
2022-11-08,103.44366455078125,22.428823471069336
2022-11-09,103.30390930175781,22.79435920715332
2022-11-10,108.25308227539062,22.92557716369629
2022-11-11,111.21720123291016,22.681888580322266
2022-11-14,111.66629791259766,22.82247543334961
2022-11-15,112.1513442993164,22.897457122802734
2022-11-16,105.88178253173828,22.363216400146484
2022-11-17,103.63624572753906,22.13827133178711
2022-11-18,105.72010803222656,22.606904983520508
2022-11-21,105.09135437011719,22.897457122802734
2022-11-22,104.91171264648438,23.09428596496582
2022-11-23,106.24107360839844,23.394210815429688
2022-11-24,106.11532592773438,23.48793601989746
2022-11-25,107.15725708007812,23.394210815429688
2022-11-28,104.69613647460938,23.206756591796875
2022-11-29,105.64825439453125,23.356719970703125
2022-11-30,104.78597259521484,23.30048370361328
2022-12-01,105.63028717041016,23.59103775024414
2022-12-02,108.41475677490234,23.703508377075195
2022-12-05,108.1273193359375,23.4504451751709
2022-12-06,102.8458251953125,23.21613121032715
2022-12-07,104.82189178466797,23.234874725341797
2022-12-08,104.62428283691406,22.878713607788086
2022-12-09,105.63028717041016,22.944318771362305
2022-12-12,103.74403381347656,22.719375610351562
2022-12-13,108.37883758544922,23.206756591796875
2022-12-14,107.2650375366211,23.91908073425293
2022-12-15,99.91763305664062,23.281740188598633
2022-12-16,100.09727478027344,22.79435920715332
2022-12-19,100.56434631347656,22.97243881225586
2022-12-20,98.1571273803711,23.000560760498047
2022-12-21,101.46255493164062,23.525426864624023
2022-12-22,100.67212677001953,23.544172286987305
2022-12-23,101.04938507080078,23.37546730041504
2022-12-26,101.04938507080078,23.37546730041504
2022-12-27,101.91167449951172,23.53480339050293
2022-12-28,101.55238342285156,23.394210815429688
2022-12-29,102.68413543701172,23.619155883789062
2022-12-30,100.81584167480469,23.29111099243164
2023-01-02,104.35482788085938,23.994062423706055
2023-01-03,104.714111328125,23.787860870361328
2023-01-04,108.88182830810547,24.509559631347656
2023-01-05,114.32502746582031,24.668893814086914
2023-01-06,114.32502746582031,25.128156661987305
2023-01-09,115.9058837890625,25.212509155273438
2023-01-10,114.64838409423828,25.06254768371582
2023-01-11,116.98374938964844,25.55929946899414
2023-01-12,118.15142822265625,25.802988052368164
2023-01-13,116.64242553710938,25.765499114990234
2023-01-16,117.73824310302734,25.756126403808594
2023-01-17,115.13341522216797,25.69989013671875
2023-01-18,115.72624206542969,25.821735382080078
2023-01-19,112.58248138427734,25.212509155273438
2023-01-20,112.99567413330078,25.465572357177734
2023-01-23,113.98370361328125,25.568674087524414
2023-01-24,115.5645751953125,25.774869918823242
2023-01-25,114.66635131835938,25.990442276000977
2023-01-26,117.84603118896484,26.52468490600586
2023-01-27,112.99567413330078,26.618412017822266
2023-01-30,115.86995697021484,26.768375396728516
2023-01-31,115.07952117919922,26.824613571166992
2023-02-01,117.07357025146484,27.021438598632812
2023-02-02,123.1634750366211,27.180774688720703
2023-02-03,123.50479125976562,27.311988830566406
2023-02-06,120.98978424072266,26.98394775390625
2023-02-07,120.30715942382812,26.908964157104492
2023-02-08,122.0676498413086,27.049556732177734
2023-02-09,120.55864715576172,27.208892822265625
2023-02-10,116.3370361328125,25.962324142456055
2023-02-13,115.07952117919922,26.3653507232666
2023-02-14,114.73820495605469,26.51531410217285
2023-02-15,114.28910064697266,26.777748107910156
2023-02-16,116.06757354736328,26.684019088745117
2023-02-17,117.21727752685547,26.99332046508789
2023-02-20,115.67234802246094,26.796493530273438
2023-02-21,114.37892150878906,26.655900955200195
2023-02-22,113.53459167480469,26.70276641845703
2023-02-23,112.92381286621094,26.721511840820312
2023-02-24,112.70823669433594,26.45907974243164
2023-02-27,117.4508056640625,27.180774688720703
2023-02-28,118.60053253173828,27.26512908935547
2023-03-01,117.5765609741211,27.180774688720703
2023-03-02,118.56460571289062,27.1339111328125
2023-03-03,119.64246368408203,27.518190383911133
2023-03-06,121.79818725585938,27.74313735961914
2023-03-07,120.03767395019531,27.283870697021484
2023-03-08,120.98978424072266,27.311988830566406
2023-03-09,121.9239501953125,27.48069953918457
2023-03-10,118.81611633300781,27.433837890625
2023-03-13,119.35504913330078,26.843355178833008
2023-03-14,120.64847564697266,27.340110778808594
2023-03-15,110.4267578125,25.94358253479004
2023-03-16,112.618408203125,26.96520233154297
2023-03-17,110.22915649414062,26.833984375
2023-03-20,109.9776611328125,26.721511840820312
2023-03-21,111.845947265625,27.29324722290039
2023-03-22,112.1513442993164,27.433837890625
2023-03-23,111.32498168945312,27.799367904663086
2023-03-24,108.8638687133789,27.330738067626953
2023-03-27,109.60040283203125,27.82748794555664
2023-03-28,109.49262237548828,27.555683135986328
2023-03-29,110.35490417480469,27.883724212646484
2023-03-30,128.3551788330078,28.43671417236328
2023-03-31,132.77439880371094,28.961584091186523
2023-04-03,131.73248291015625,28.48357582092285
2023-04-04,134.46302795410156,28.652286529541016
2023-04-05,133.0079345703125,28.839738845825195
2023-04-06,135.63072204589844,28.539813995361328
2023-04-07,135.63072204589844,28.539813995361328
2023-04-10,135.63072204589844,28.539813995361328
2023-04-11,136.45709228515625,28.577302932739258
2023-04-12,135.0378875732422,28.502321243286133
2023-04-13,136.74452209472656,29.027191162109375
2023-04-14,139.02598571777344,29.139663696289062
2023-04-17,140.6068572998047,29.495824813842773
2023-04-18,139.5469512939453,29.477081298828125
2023-04-19,139.259521484375,29.523944854736328
2023-04-20,139.0798797607422,29.317745208740234
2023-04-21,139.49305725097656,29.44896125793457
2023-04-24,139.1876678466797,29.355236053466797
2023-04-25,137.37327575683594,29.411470413208008
2023-04-26,135.95408630371094,29.542688369750977
2023-04-27,134.73251342773438,29.609567642211914
2023-04-28,134.62474060058594,29.771997451782227
2023-05-01,134.62474060058594,29.771997451782227
2023-05-02,131.24742126464844,29.456695556640625
2023-05-03,132.16360473632812,29.647789001464844
2023-05-04,131.5168914794922,30.029972076416016
2023-05-05,132.94073486328125,30.259279251098633
2023-05-08,133.142822265625,30.63191032409668
2023-05-09,131.63632202148438,30.029972076416016
2023-05-10,129.59701538085938,29.83888053894043
2023-05-11,131.69142150878906,29.90576171875
2023-05-12,131.3607177734375,30.087295532226562
2023-05-15,131.2137451171875,29.857990264892578
2023-05-16,132.2793426513672,29.542688369750977
2023-05-17,134.6125946044922,29.886653900146484
2023-05-18,134.6125946044922,29.92487144470215
2023-05-19,132.40794372558594,29.99175262451172
2023-05-22,133.27142333984375,30.240171432495117
2023-05-23,132.09559631347656,29.686006546020508
2023-05-24,128.3844451904297,29.399370193481445
2023-05-25,126.34512329101562,29.42803192138672
2023-05-26,127.28211975097656,29.74333381652832
2023-05-29,126.1613998413086,29.848434448242188
2023-05-30,126.2900161743164,30.049081802368164
2023-05-31,124.41606903076172,29.896209716796875
2023-06-01,127.74142456054688,30.049081802368164
2023-06-02,130.75445556640625,30.71790313720703
2023-06-05,129.22955322265625,30.603242874145508
2023-06-06,129.22955322265625,30.402597427368164
2023-06-07,132.3528289794922,32.1319694519043
2023-06-08,131.65467834472656,31.883554458618164
