Date,VIXY,^VIX
2023-01-17,196.0,19.360000610351562
2023-01-18,202.60000610351562,20.34000015258789
2023-01-19,203.60000610351562,20.520000457763672
2023-01-20,196.60000610351562,19.850000381469727
2023-01-23,194.60000610351562,19.809999465942383
2023-01-24,187.8000030517578,19.200000762939453
2023-01-25,187.60000610351562,19.079999923706055
2023-01-26,185.1999969482422,18.729999542236328
2023-01-27,182.0,18.510000228881836
2023-01-30,187.1999969482422,19.940000534057617
2023-01-31,183.0,19.399999618530273
2023-02-01,176.60000610351562,17.8700008392334
2023-02-02,181.0,18.729999542236328
2023-02-03,182.1999969482422,18.329999923706055
2023-02-06,187.0,19.43000030517578
2023-02-07,181.1999969482422,18.65999984741211
2023-02-08,188.60000610351562,19.6299991607666
2023-02-09,193.8000030517578,20.709999084472656
2023-02-10,196.39999389648438,20.530000686645508
2023-02-13,189.39999389648438,20.34000015258789
2023-02-14,182.1999969482422,18.90999984741211
2023-02-15,178.60000610351562,18.229999542236328
2023-02-16,188.0,20.170000076293945
2023-02-17,189.0,20.020000457763672
2023-02-20,189.0,20.020000457763672
2023-02-21,203.39999389648438,22.8700008392334
2023-02-22,197.0,22.290000915527344
2023-02-23,190.39999389648438,21.139999389648438
2023-02-24,197.60000610351562,21.670000076293945
2023-02-27,190.60000610351562,20.950000762939453
2023-02-28,186.39999389648438,20.700000762939453
2023-03-01,187.60000610351562,20.579999923706055
2023-03-02,181.0,19.59000015258789
2023-03-03,175.1999969482422,18.489999771118164
2023-03-06,173.39999389648438,18.610000610351562
2023-03-07,177.0,19.59000015258789
2023-03-08,173.39999389648438,19.110000610351562
2023-03-09,192.1999969482422,22.610000610351562
2023-03-10,212.39999389648438,24.799999237060547
2023-03-13,219.0,26.520000457763672
2023-03-14,206.8000030517578,23.729999542236328
2023-03-15,222.39999389648438,26.139999389648438
2023-03-16,203.1999969482422,22.989999771118164
2023-03-17,224.60000610351562,25.510000228881836
2023-03-20,215.1999969482422,24.149999618530273
2023-03-21,195.39999389648438,21.3799991607666
2023-03-22,202.8000030517578,22.260000228881836
2023-03-23,209.0,22.610000610351562
2023-03-24,200.1999969482422,21.739999771118164
2023-03-27,192.39999389648438,20.600000381469727
2023-03-28,188.0,19.969999313354492
2023-03-29,181.8000030517578,19.1200008392334
2023-03-30,181.60000610351562,19.020000457763672
2023-03-31,181.0,18.700000762939453
