Date,ASML.AS,IFX.DE
2022-05-20,485.3077087402344,26.94245719909668
2022-05-23,504.9836730957031,27.258283615112305
2022-05-24,493.5465087890625,26.28165054321289
2022-05-25,491.60797119140625,26.28165054321289
2022-05-26,501.1067199707031,26.937597274780273
2022-05-27,524.65966796875,26.937597274780273
2022-05-30,539.0046997070312,26.937597274780273
2022-05-31,519.5224609375,28.123165130615234
2022-06-01,514.0947265625,28.084291458129883
2022-06-02,518.6502075195312,28.084291458129883
2022-06-03,509.34527587890625,28.084291458129883
2022-06-06,521.9456787109375,28.463285446166992
2022-06-07,515.742431640625,27.841350555419922
2022-06-08,519.4257202148438,27.700439453125
2022-06-09,504.69287109375,26.752962112426758
2022-06-10,479.8799743652344,25.892942428588867
2022-06-13,458.55621337890625,24.12917137145996
2022-06-14,456.7146301269531,23.584976196289062
2022-06-15,467.52191162109375,24.289512634277344
2022-06-16,435.05169677734375,22.768686294555664
2022-06-17,435.34246826171875,23.06507682800293
2022-06-20,443.1934509277344,23.414913177490234
2022-06-21,455.3092346191406,23.711307525634766
2022-06-22,450.8990478515625,23.327455520629883
2022-06-23,446.2466125488281,22.695802688598633
2022-06-24,469.9449768066406,23.380901336669922
2022-06-27,468.83038330078125,23.81334114074707
2022-06-28,458.3138732910156,23.652997970581055
2022-06-29,450.8990478515625,23.23027801513672
2022-06-30,441.8365173339844,22.438283920288086
2022-07-01,417.9927978515625,21.66086196899414
2022-07-04,415.3272705078125,21.072935104370117
2022-07-05,396.4267883300781,20.470436096191406
2022-07-06,408.54254150390625,21.388765335083008
2022-07-07,427.2491455078125,22.112735748291016
2022-07-08,432.4346923828125,22.593765258789062
2022-07-11,424.5353088378906,22.137033462524414
2022-07-12,421.336669921875,22.137033462524414
2022-07-13,428.16998291015625,22.122453689575195
2022-07-14,429.3815612792969,21.981548309326172
2022-07-15,451.0929870605469,22.564611434936523
2022-07-18,461.5608825683594,23.001911163330078
2022-07-19,469.8965148925781,23.61412811279297
2022-07-20,485.7923889160156,23.993122100830078
2022-07-21,510.79925537109375,24.51302146911621
2022-07-22,506.4375305175781,24.124311447143555
2022-07-25,512.0592651367188,24.10001564025879
2022-07-26,499.0711975097656,23.65785789489746
2022-07-27,512.6409301757812,24.53731346130371
2022-07-28,528.6336669921875,24.926023483276367
