Date,XLRE,XLU
2022-12-23,34.053524017333984,65.58555603027344
2022-12-26,34.053524017333984,65.58555603027344
2022-12-27,34.02596664428711,65.99252319335938
2022-12-28,33.4841194152832,65.36357879638672
2022-12-29,34.22800827026367,65.83528900146484
2022-12-30,33.91576385498047,65.20634460449219
2023-01-02,33.91576385498047,65.20634460449219
2023-01-03,34.04433822631836,65.20634460449219
2023-01-04,34.82495880126953,65.79828643798828
2023-01-05,33.8055534362793,64.37393188476562
2023-01-06,34.78822326660156,65.66879272460938
2023-01-09,34.76985168457031,66.11276245117188
2023-01-10,34.870880126953125,66.1312484741211
2023-01-11,36.13823699951172,66.6677017211914
2023-01-12,36.54232406616211,66.2145004272461
2023-01-13,36.33110046386719,65.97402954101562
2023-01-16,36.33110046386719,65.97402954101562
2023-01-17,36.34028244018555,65.88153839111328
2023-01-18,35.78007507324219,64.29991912841797
2023-01-19,35.6055793762207,63.652488708496094
2023-01-20,36.018856048583984,64.03170776367188
2023-01-23,36.119873046875,64.05020141601562
2023-01-24,36.2760009765625,64.37393188476562
2023-01-25,36.31272888183594,63.5045051574707
2023-01-26,36.72600173950195,63.71723175048828
2023-01-27,37.056617736816406,63.71723175048828
2023-01-30,36.60661697387695,63.43051528930664
2023-01-31,37.27703857421875,63.9022216796875
2023-02-01,37.55254364013672,64.0132064819336
2023-02-02,38.41582489013672,64.15193939208984
2023-02-03,37.6168327331543,62.81082534790039
2023-02-06,37.3780517578125,63.347267150878906
2023-02-07,37.231109619140625,63.319515228271484
2023-02-08,37.130088806152344,62.255859375
2023-02-09,36.77192306518555,61.40495300292969
2023-02-10,36.845394134521484,62.62583541870117
2023-02-13,37.1851921081543,63.00506591796875
2023-02-14,36.79947280883789,62.7368278503418
2023-02-15,36.90049743652344,63.14379119873047
2023-02-16,36.56069564819336,62.6628303527832
2023-02-17,36.377010345458984,63.3380241394043
2023-02-20,36.377010345458984,63.3380241394043
2023-02-21,35.660682678222656,62.15412902832031
2023-02-22,35.3392448425293,61.913658142089844
2023-02-23,35.679054260253906,61.589935302734375
2023-02-24,35.017818450927734,61.608428955078125
2023-02-27,35.07291793823242,61.19222640991211
2023-02-28,35.09128952026367,60.119327545166016
2023-03-01,34.54944610595703,59.129669189453125
2023-03-02,34.99945068359375,60.24880599975586
2023-03-03,35.58721160888672,61.27545928955078
2023-03-06,35.4494514465332,61.571434020996094
2023-03-07,34.55863571166992,60.56327819824219
2023-03-08,35.04536819458008,61.02573776245117
2023-03-09,34.246376037597656,60.535526275634766
2023-03-10,33.15350341796875,59.58287048339844
2023-03-13,33.68616485595703,60.49854278564453
2023-03-14,34.035160064697266,61.29396057128906
2023-03-15,34.053524017333984,62.12638473510742
2023-03-16,34.053524017333984,62.54258728027344
2023-03-17,33.27289962768555,61.941410064697266
2023-03-20,33.62990951538086,62.425907135009766
2023-03-21,33.4356803894043,61.168060302734375
2023-03-22,32.21479797363281,59.96613311767578
2023-03-23,32.02055740356445,59.351192474365234
2023-03-24,32.84373092651367,61.20532989501953
2023-03-27,32.73274612426758,61.27986526489258
2023-03-28,32.62175750732422,61.44758224487305
2023-03-29,33.398685455322266,62.34204864501953
2023-03-30,33.83339309692383,62.612239837646484
2023-03-31,34.57332229614258,63.06880569458008
2023-04-03,34.24960708618164,62.64019775390625
2023-04-04,34.25885772705078,62.95697784423828
2023-04-05,34.08312225341797,64.58751678466797
2023-04-06,34.31435012817383,65.04405975341797
2023-04-07,34.31435012817383,65.04405975341797
2023-04-10,34.490081787109375,64.91361236572266
2023-04-11,34.65657043457031,64.96952819824219
2023-04-12,34.55482864379883,64.904296875
2023-04-13,34.4438362121582,64.91361236572266
2023-04-14,33.85189437866211,64.18687438964844
2023-04-17,34.61956787109375,64.54093170166016
2023-04-18,34.5640754699707,64.20549774169922
2023-04-19,34.767555236816406,64.6993179321289
2023-04-20,34.351341247558594,64.68067169189453
2023-04-21,34.38834762573242,64.86703491210938
2023-04-24,34.29585647583008,65.1931381225586
2023-04-25,33.98138427734375,65.12791442871094
2023-04-26,33.70390701293945,63.599884033203125
2023-04-27,34.51782989501953,64.36389923095703
2023-04-28,34.91554641723633,64.2707290649414
2023-05-01,34.591819763183594,64.38253784179688
2023-05-02,33.999874114990234,63.599884033203125
2023-05-03,33.787147521972656,63.422847747802734
2023-05-04,34.10162353515625,63.9073486328125
2023-05-05,34.62881851196289,64.31730651855469
2023-05-08,34.38834762573242,64.12165069580078
2023-05-09,34.27736282348633,64.03778839111328
2023-05-10,34.60107421875,64.6247787475586
2023-05-11,34.240360260009766,63.963253021240234
2023-05-12,34.30510330200195,64.31730651855469
2023-05-15,34.240360260009766,63.506717681884766
2023-05-16,33.32468795776367,62.099788665771484
2023-05-17,33.7593994140625,61.87617492675781
2023-05-18,33.54667282104492,61.68982696533203
2023-05-19,33.491172790527344,61.59666061401367
2023-05-22,33.713157653808594,61.615291595458984
2023-05-23,33.296939849853516,61.400997161865234
2023-05-24,32.56625747680664,61.00035858154297
2023-05-25,32.6402587890625,60.1804313659668
2023-05-26,33.019474029541016,60.1804313659668
2023-05-29,33.019474029541016,60.1804313659668
2023-05-30,33.121212005615234,59.9474983215332
2023-05-31,33.33394241333008,60.49722671508789
2023-06-01,33.34318542480469,60.04998779296875
2023-06-02,34.04612350463867,60.67425537109375
2023-06-05,33.88888931274414,60.96308517456055
2023-06-06,34.092369079589844,60.91649627685547
2023-06-07,34.721317291259766,61.95071792602539
2023-06-08,34.508583068847656,62.22091293334961
2023-06-09,34.33284378051758,61.8575325012207
2023-06-12,34.31435012817383,61.7457389831543
2023-06-13,34.5640754699707,61.736419677734375
2023-06-14,34.749061584472656,61.699161529541016
2023-06-15,34.89704132080078,62.3700065612793
2023-06-16,34.860050201416016,62.705421447753906
2023-06-19,34.860050201416016,62.705421447753906
2023-06-20,34.485591888427734,61.97001266479492
2023-06-21,34.336181640625,62.46780014038086
2023-06-22,33.85060119628906,61.98880386352539
2023-06-23,33.486419677734375,61.0777473449707
2023-06-26,34.23346710205078,61.67885208129883
2023-06-27,34.606990814208984,61.697628021240234
2023-06-28,34.70036697387695,60.786590576171875
2023-06-29,35.01786422729492,60.786590576171875
2023-06-30,35.195289611816406,61.46283721923828
2023-07-03,35.475433349609375,61.92304229736328
2023-07-04,35.475433349609375,61.92304229736328
2023-07-05,35.652854919433594,62.62746047973633
2023-07-06,35.456756591796875,61.86669921875
2023-07-07,35.288673400878906,61.41586685180664
2023-07-10,35.410064697265625,61.15288543701172
2023-07-11,35.81160354614258,61.91365051269531
2023-07-12,35.97968673706055,62.81529998779297
2023-07-13,36.222476959228516,63.03132629394531
2023-07-14,36.222476959228516,62.78712463378906
2023-07-17,35.91432189941406,62.06393051147461
2023-07-18,35.615501403808594,61.584922790527344
2023-07-19,36.00770568847656,62.214210510253906
2023-07-20,35.88630294799805,63.35065841674805
2023-07-21,36.045047760009766,64.29928588867188
2023-07-24,36.390567779541016,64.13021087646484
2023-07-25,36.11975860595703,64.24293518066406
2023-07-26,36.250492095947266,64.24293518066406
2023-07-27,35.484771728515625,63.10647201538086
2023-07-28,35.38204574584961,62.96559143066406
