Date,BZ=F,CL=F
2022-02-28,100.98999786376953,95.72000122070312
2022-03-01,104.97000122070312,103.41000366210938
2022-03-02,112.93000030517578,110.5999984741211
2022-03-03,110.45999908447266,107.66999816894531
2022-03-04,118.11000061035156,115.68000030517578
2022-03-07,123.20999908447266,119.4000015258789
2022-03-08,127.9800033569336,123.69999694824219
2022-03-09,111.13999938964844,108.69999694824219
2022-03-10,109.33000183105469,106.0199966430664
2022-03-11,112.66999816894531,109.33000183105469
2022-03-14,106.9000015258789,103.01000213623047
2022-03-15,99.91000366210938,96.44000244140625
2022-03-16,98.0199966430664,95.04000091552734
2022-03-17,106.63999938964844,102.9800033569336
2022-03-18,107.93000030517578,104.69999694824219
2022-03-21,115.62000274658203,112.12000274658203
2022-03-22,115.4800033569336,111.76000213623047
2022-03-23,121.5999984741211,114.93000030517578
2022-03-24,119.02999877929688,112.33999633789062
2022-03-25,120.6500015258789,113.9000015258789
2022-03-28,112.4800033569336,105.95999908447266
2022-03-29,110.2300033569336,104.23999786376953
2022-03-30,113.44999694824219,107.81999969482422
2022-03-31,107.91000366210938,100.27999877929688
2022-04-01,104.38999938964844,99.2699966430664
2022-04-04,107.52999877929688,103.27999877929688
2022-04-05,106.63999938964844,101.95999908447266
2022-04-06,101.06999969482422,96.2300033569336
2022-04-07,100.58000183105469,96.02999877929688
2022-04-08,102.77999877929688,98.26000213623047
2022-04-11,98.4800033569336,94.29000091552734
2022-04-12,104.63999938964844,100.5999984741211
2022-04-13,108.77999877929688,104.25
2022-04-14,111.69999694824219,106.94999694824219
2022-04-15,111.69999694824219,106.94999694824219
2022-04-18,113.16000366210938,108.20999908447266
2022-04-19,107.25,102.55999755859375
2022-04-20,106.80000305175781,102.75
2022-04-21,108.33000183105469,103.79000091552734
2022-04-22,106.6500015258789,102.06999969482422
2022-04-25,102.31999969482422,98.54000091552734
2022-04-26,104.98999786376953,101.69999694824219
2022-04-27,105.31999969482422,102.0199966430664
2022-04-28,107.58999633789062,105.36000061035156
2022-04-29,109.33999633789062,104.69000244140625
2022-05-02,107.58000183105469,105.16999816894531
2022-05-03,104.97000122070312,102.41000366210938
2022-05-04,110.13999938964844,107.80999755859375
2022-05-05,110.9000015258789,108.26000213623047
2022-05-06,112.38999938964844,109.7699966430664
2022-05-09,105.94000244140625,103.08999633789062
2022-05-10,102.45999908447266,99.76000213623047
2022-05-11,107.51000213623047,105.70999908447266
2022-05-12,107.44999694824219,106.12999725341797
2022-05-13,111.55000305175781,110.48999786376953
2022-05-16,114.23999786376953,114.19999694824219
2022-05-17,111.93000030517578,112.4000015258789
2022-05-18,109.11000061035156,109.58999633789062
2022-05-19,112.04000091552734,112.20999908447266
2022-05-20,112.55000305175781,113.2300033569336
2022-05-23,113.41999816894531,110.29000091552734
2022-05-24,113.55999755859375,109.7699966430664
2022-05-25,114.02999877929688,110.33000183105469
2022-05-26,117.4000015258789,114.08999633789062
2022-05-27,119.43000030517578,115.06999969482422
2022-05-30,119.43000030517578,115.06999969482422
2022-05-31,122.83999633789062,114.66999816894531
2022-06-01,116.29000091552734,115.26000213623047
2022-06-02,117.61000061035156,116.87000274658203
2022-06-03,119.72000122070312,118.87000274658203
2022-06-06,119.51000213623047,118.5
2022-06-07,120.56999969482422,119.41000366210938
